Filename,Graph ID,Nodes
hypercubes_057_dim3_perturb0.0,See JSON,See JSON
hypercubes_058_dim3_perturb0.1,See JSON,See JSON
hypercubes_059_dim4_perturb0.0,See JSON,See JSON
hypercubes_060_dim4_perturb0.1,See JSON,See JSON
hypercubes_061_dim5_perturb0.0,See JSON,See JSON
hypercubes_062_dim5_perturb0.1,See JSON,See JSON
hypercubes_063_dim6_perturb0.0,See JSON,See JSON
hypercubes_064_dim6_perturb0.1,See JSON,See JSON
